State	County	Year	Est. Population
Washington	Garfield County	2012	2247
Washington	Garfield County	2013	2223
Washington	Garfield County	2014	2247
Washington	Garfield County	2015	2212
Washington	Balance of Garfield County	2010	839
Washington	Balance of Garfield County	2011	839
Washington	Balance of Garfield County	2012	836
Washington	Balance of Garfield County	2013	829
Washington	Balance of Garfield County	2014	838
Washington	Balance of Garfield County	2015	826
Washington	Grant County	2010	89120
Washington	Grant County	2011	89627
Washington	Grant County	2012	90756
Washington	Grant County	2013	91589
Washington	Grant County	2014	91906
Washington	Grant County	2015	92838
Washington	Balance of Grant County	2010	39886
Washington	Balance of Grant County	2011	40081
Washington	Balance of Grant County	2012	40451
Washington	Balance of Grant County	2013	40787
Washington	Balance of Grant County	2014	40734
Washington	Balance of Grant County	2015	41043
Washington	Grays Harbor County	2010	72797
Washington	Grays Harbor County	2011	72857
Washington	Grays Harbor County	2012	72345
Washington	Grays Harbor County	2013	71742
Washington	Grays Harbor County	2014	71049
Washington	Grays Harbor County	2015	70836
Washington	Balance of Grays Harbor County	2010	28473
Washington	Balance of Grays Harbor County	2011	28498
Washington	Balance of Grays Harbor County	2012	28320
Washington	Balance of Grays Harbor County	2013	28101
Washington	Balance of Grays Harbor County	2014	27854
Washington	Balance of Grays Harbor County	2015	27794
Washington	Island County	2010	78506
Washington	Island County	2011	78712
Washington	Island County	2012	78992
Washington	Island County	2013	79252
Washington	Island County	2014	78575
Washington	Island County	2015	79235
Washington	Balance of Island County	2010	53510
Washington	Balance of Island County	2011	53645
Washington	Balance of Island County	2012	53842
Washington	Balance of Island County	2013	54095
Washington	Balance of Island County	2014	53589
Washington	Balance of Island County	2015	54028
Washington	Jefferson County	2010	29872
Washington	Jefferson County	2011	29902
Washington	Jefferson County	2012	29870
Washington	Jefferson County	2013	29822
Washington	Jefferson County	2014	30050
Washington	Jefferson County	2015	30206
Washington	Balance of Jefferson County	2010	20759
Washington	Balance of Jefferson County	2011	20777
Washington	Balance of Jefferson County	2012	20748
Washington	Balance of Jefferson County	2013	20707
Washington	Balance of Jefferson County	2014	20860
Washington	Balance of Jefferson County	2015	20957
Washington	King County	2010	1931256
Washington	King County	2011	1937699
Washington	King County	2012	1972548
Washington	King County	2013	2009200
Washington	King County	2014	2047618
Washington	King County	2015	2082288
Washington	Balance of King County	2010	238991
Washington	Balance of King County	2011	239976
Washington	Balance of King County	2012	244247
Washington	Balance of King County	2013	248219
