City	State	Year	Est. Population
Deatsville town	Alabama	2012	1161
Deatsville town	Alabama	2013	1163
Deatsville town	Alabama	2014	1164
Deatsville town	Alabama	2015	1159
Detroit town	Alabama	2010	237
Detroit town	Alabama	2011	236
Detroit town	Alabama	2012	233
Detroit town	Alabama	2013	232
Detroit town	Alabama	2014	231
Detroit town	Alabama	2015	229
Dodge City town	Alabama	2010	593
Dodge City town	Alabama	2011	593
Dodge City town	Alabama	2012	594
Dodge City town	Alabama	2013	592
Dodge City town	Alabama	2014	595
Dodge City town	Alabama	2015	598
Double Springs town	Alabama	2010	1084
Double Springs town	Alabama	2011	1081
Double Springs town	Alabama	2012	1078
Double Springs town	Alabama	2013	1071
Double Springs town	Alabama	2014	1069
Double Springs town	Alabama	2015	1066
Douglas town	Alabama	2010	744
Douglas town	Alabama	2011	745
Douglas town	Alabama	2012	751
Douglas town	Alabama	2013	754
Douglas town	Alabama	2014	755
Douglas town	Alabama	2015	755
Dozier town	Alabama	2010	329
Dozier town	Alabama	2011	328
Dozier town	Alabama	2012	329
Dozier town	Alabama	2013	331
Dozier town	Alabama	2014	331
Dozier town	Alabama	2015	331
Dutton town	Alabama	2010	315
Dutton town	Alabama	2011	315
Dutton town	Alabama	2012	316
Dutton town	Alabama	2013	314
Dutton town	Alabama	2014	314
Dutton town	Alabama	2015	312
Eclectic town	Alabama	2010	1001
Eclectic town	Alabama	2011	1003
Eclectic town	Alabama	2012	1007
Eclectic town	Alabama	2013	1009
Eclectic town	Alabama	2014	1010
Eclectic town	Alabama	2015	1016
Edwardsville town	Alabama	2010	202
Edwardsville town	Alabama	2011	202
Edwardsville town	Alabama	2012	202
Edwardsville town	Alabama	2013	202
Edwardsville town	Alabama	2014	203
Edwardsville town	Alabama	2015	204
Elberta town	Alabama	2010	1515
Elberta town	Alabama	2011	1521
Elberta town	Alabama	2012	1546
Elberta town	Alabama	2013	1573
Elberta town	Alabama	2014	1602
Elberta town	Alabama	2015	1631
Eldridge town	Alabama	2010	130
Eldridge town	Alabama	2011	130
Eldridge town	Alabama	2012	130
